Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin_new
0,3,male,56.0,0,0,7,S,F G73
1,3,female,23.0,0,0,7,S,F G73
0,3,male,23.0,0,0,7,S,F G73
1,2,female,18.0,0,1,23,S,F E69
0,3,male,21.0,0,0,8,S,E10
1,3,female,21.0,0,0,7,Q,F G73
0,3,female,18.0,0,0,6,Q,F G73
0,2,male,24.0,2,0,73,S,B35
0,3,male,24.0,0,0,7,S,F G73
0,3,female,32.0,1,1,15,Q,G6
0,2,male,23.0,0,0,13,S,D56
0,1,male,58.0,0,2,113,C,D48
1,1,male,50.0,2,0,133,S,C99
0,3,male,40.0,0,0,7,C,F G73
0,1,male,47.0,0,0,25,S,E58
0,3,male,36.0,0,0,7,S,F G73
1,3,male,20.0,1,0,7,S,F G73
0,2,male,32.0,2,0,73,S,B35
0,2,male,25.0,0,0,13,S,D56
0,3,male,25.0,0,0,7,S,F G73
0,3,male,43.0,0,0,8,S,E10
1,1,female,43.0,1,0,52,S,C126
1,2,female,40.0,1,1,39,S,F4
0,1,male,31.0,1,0,52,S,B71
0,2,male,70.0,0,0,10,S,F33
1,2,male,31.0,0,0,13,S,D56
0,2,male,31.0,0,0,0,S,B94
0,3,male,18.0,0,0,7,S,F G73
0,3,male,24.5,0,0,8,S,E10
1,3,female,18.0,0,0,9,S,E10
0,3,female,43.0,1,6,46,S,B39
1,1,male,36.0,0,1,512,C,B51 B53 B55
0,3,female,36.0,0,0,8,Q,E10
1,1,male,27.0,0,0,76,C,D49
0,3,male,20.0,0,0,9,S,E10
0,3,male,14.0,5,2,46,S,B39
0,2,male,60.0,1,1,39,S,F4
0,2,male,25.0,1,2,41,C,F4
0,3,male,14.0,4,1,39,S,F4
0,3,male,19.0,0,0,10,S,F33
0,3,male,18.0,0,0,7,S,F G73
1,1,female,15.0,0,1,211,S,B5
1,1,male,31.0,1,0,57,S,B20
1,3,female,4.0,0,1,13,C,D56
1,3,male,4.0,0,0,56,S,E36
0,3,male,25.0,0,0,7,C,F G73
0,1,male,60.0,0,0,26,S,C103
0,2,male,52.0,0,0,13,S,D56
0,3,male,44.0,0,0,8,S,E10
1,3,female,44.0,0,0,7,Q,F G73
0,1,male,49.0,1,1,110,C,C68
0,3,male,42.0,0,0,7,S,F G63
1,1,female,18.0,1,0,227,C,C62 C64
1,1,male,35.0,0,0,26,S,E24
0,3,female,18.0,0,1,14,C,D56
0,3,male,25.0,0,0,7,Q,F G73
0,3,male,26.0,1,0,7,S,F G73
0,2,male,39.0,0,0,26,S,C103
1,2,female,45.0,0,0,13,S,D56
1,1,male,42.0,0,0,26,S,E24
1,1,female,22.0,0,0,151,S,C22 C26
1,3,male,22.0,1,1,15,C,G6
1,1,female,24.0,0,0,49,C,C90
0,1,male,24.0,0,0,26,S,C124
1,1,male,48.0,1,0,52,S,C126
0,3,male,29.0,0,0,9,S,E10
0,2,male,52.0,0,0,13,S,D56
0,3,male,19.0,0,0,7,S,F G73
1,1,female,38.0,0,0,227,C,C45
1,2,female,27.0,0,0,10,S,E101
0,3,male,27.0,0,0,15,Q,G6
0,3,male,33.0,0,0,7,S,F G73
1,2,female,6.0,0,1,33,S,B19
0,3,male,17.0,1,0,7,S,F G73
0,2,male,34.0,0,0,13,S,D56
0,2,male,50.0,0,0,13,S,D56
1,1,male,27.0,1,0,53,S,E8
0,3,male,20.0,0,0,8,S,E10
1,2,female,30.0,3,0,21,S,F E69
1,3,female,30.0,0,0,7,Q,F G73
0,2,male,25.0,1,0,26,S,C103
0,3,female,25.0,1,0,7,S,F G73
1,1,female,29.0,0,0,211,S,B5
0,3,male,11.0,0,0,18,C,G6
0,2,male,11.0,0,0,0,S,B94
0,2,male,23.0,0,0,13,S,D56
0,2,male,23.0,0,0,13,S,D56
0,3,male,28.5,0,0,16,S,G6
0,3,female,48.0,1,3,34,S,A5
1,1,male,35.0,0,0,512,C,B101
0,3,male,35.0,0,0,7,S,F G73
0,3,male,35.0,0,0,7,S,F G73
1,1,male,36.0,0,0,30,S,D45
0,1,male,36.0,1,0,78,S,C46
1,1,female,21.0,2,2,262,C,B57 B59 B63 B66
0,3,male,24.0,1,0,16,S,G6
1,3,male,31.0,0,0,7,S,F G73
0,1,male,70.0,1,1,71,S,B22
0,3,male,16.0,1,1,20,S,F E69
1,2,female,30.0,0,0,13,S,D56
0,1,male,19.0,1,0,53,S,D30
0,3,male,31.0,0,0,7,Q,F G73
1,2,female,4.0,1,1,23,S,F E69
1,3,male,6.0,0,1,12,S,E121
0,3,male,33.0,0,0,9,S,E10
0,3,male,23.0,0,0,7,S,F G73
1,2,female,48.0,1,2,65,S,B30
1,2,male,0.67,1,1,14,S,D56
0,3,male,28.0,0,0,7,S,F G73
0,2,male,18.0,0,0,11,S,F33
0,3,male,34.0,0,0,8,S,E10
1,1,female,33.0,0,0,86,S,B77
0,3,male,33.0,0,0,14,S,D56
0,3,male,41.0,0,0,7,S,F G73
1,3,male,20.0,0,0,7,C,F G73
1,1,female,36.0,1,2,120,S,B96 B98
0,3,male,16.0,0,0,7,S,F G73
1,1,female,51.0,1,0,77,S,D11
0,1,male,51.0,0,0,39,C,F4
0,3,female,30.5,0,0,7,Q,F G73
0,3,male,30.5,1,0,24,Q,E58
0,3,male,32.0,0,0,8,S,E10
0,3,male,24.0,0,0,9,S,E10
0,3,male,48.0,0,0,7,S,F G73
0,2,female,57.0,0,0,10,S,E77
0,3,male,57.0,0,0,7,C,F G73
1,2,female,54.0,1,3,23,S,F E69
0,3,male,18.0,0,0,7,S,F G73
0,3,male,18.0,0,0,7,Q,F38
1,3,female,5.0,0,0,12,S,D
0,3,male,5.0,0,0,7,Q,F G73
1,1,female,43.0,0,1,211,S,B3
1,3,female,13.0,0,0,7,C,F G73
1,1,female,17.0,1,0,57,S,B20
0,1,male,29.0,0,0,30,S,D6
0,3,male,29.0,1,2,23,S,F E69
0,3,male,25.0,0,0,7,S,F G73
0,3,male,25.0,0,0,7,S,F G73
1,3,female,18.0,0,0,7,S,F G73
0,3,male,8.0,4,1,29,Q,C118
1,3,male,1.0,1,2,20,S,F E69
0,1,male,46.0,0,0,79,C,B82 B84
0,3,male,46.0,0,0,7,Q,F G73
0,2,male,16.0,0,0,26,S,C103
0,3,female,16.0,8,2,69,S,B35
0,1,male,25.0,0,0,30,C,A7
0,3,male,25.0,0,0,7,S,F G73
0,2,male,39.0,0,0,13,S,D56
1,1,female,49.0,0,0,25,S,D17
1,3,female,31.0,0,0,8,S,E10
0,3,male,30.0,0,0,7,C,F G73
0,3,female,30.0,1,1,24,S,E58
0,2,male,34.0,0,0,13,S,D56
1,2,female,31.0,1,1,26,S,C103
1,1,male,11.0,1,2,120,S,B96 B98
1,3,male,0.42,0,1,8,C,E10
1,3,male,27.0,0,0,6,S,F G73
0,3,male,31.0,0,0,7,S,F G73
0,1,male,39.0,0,0,0,S,A36
0,3,female,18.0,0,0,7,S,F G73
0,2,male,39.0,0,0,13,S,D56
1,1,female,33.0,1,0,53,S,E8
0,3,male,26.0,0,0,7,S,F G73
0,3,male,39.0,0,0,24,S,E58
0,2,male,35.0,0,0,10,S,F33
0,3,female,6.0,4,2,31,S,A31
0,3,male,30.5,0,0,8,S,E10
0,1,male,30.5,0,0,0,S,B102
0,3,female,23.0,0,0,7,S,F G73
0,2,male,31.0,1,1,37,C,F4
0,3,male,43.0,0,0,6,S,F G73
0,3,male,10.0,3,2,27,S,B4
1,1,female,52.0,1,1,93,S,B69
1,3,male,27.0,0,0,8,S,E10
0,1,male,38.0,0,0,0,S,B94
1,3,female,27.0,0,1,12,S,E121
0,3,male,2.0,4,1,39,S,F4
0,3,male,2.0,0,0,6,Q,F G73
0,3,male,1.0,0,0,56,S,E36
1,2,male,1.0,0,2,37,C,F4
1,3,male,1.0,0,0,7,Q,F G73
1,1,female,62.0,0,0,80,S,B28
1,3,female,15.0,1,0,14,C,D56
1,2,male,0.83,1,1,18,S,G6
0,3,male,0.83,0,0,7,C,F G73
0,3,male,23.0,0,0,7,S,F G73
0,3,male,18.0,0,0,8,S,E10
1,1,female,39.0,1,1,83,C,E49
0,3,male,21.0,0,0,8,S,E10
0,3,male,21.0,0,0,8,S,E10
1,3,male,32.0,0,0,56,S,E36
1,1,male,32.0,0,0,29,C,C47
0,3,male,20.0,0,0,7,S,F G73
0,2,male,16.0,0,0,10,S,F33
1,1,female,30.0,0,0,31,C,A31
0,3,male,34.5,0,0,6,C,F G73
0,3,male,17.0,0,0,8,S,E10
0,3,male,42.0,0,0,7,S,F G73
0,3,male,42.0,8,2,69,S,B35
0,3,male,35.0,0,0,7,C,F G73
0,2,male,28.0,0,1,33,S,B19
1,1,female,28.0,1,0,89,C,C92
0,3,male,4.0,4,2,31,S,A31
0,3,male,74.0,0,0,7,S,F G73
0,3,female,9.0,1,1,15,C,G6
1,1,female,16.0,0,1,39,S,D28
0,2,female,44.0,1,0,26,S,C103
1,3,female,18.0,0,1,9,S,E10
1,1,female,45.0,1,1,164,S,C7
1,1,male,51.0,0,0,26,S,E17
1,3,female,24.0,0,3,19,C,G6
0,3,male,24.0,0,0,7,C,F G73
0,3,male,41.0,2,0,14,S,D56
0,2,male,21.0,1,0,11,S,F33
1,1,female,48.0,0,0,25,S,D17
0,3,female,48.0,8,2,69,S,B35
0,2,male,24.0,0,0,13,S,D56
1,2,female,42.0,0,0,13,S,D56
1,2,female,27.0,1,0,13,C,D56
0,1,male,31.0,0,0,50,S,A24
0,3,male,31.0,0,0,9,S,E10
1,3,male,4.0,1,1,11,S,F33
0,3,male,26.0,0,0,7,S,F G73
1,1,female,47.0,1,1,52,S,D35
0,1,male,33.0,0,0,5,S,B51 B53 B55
0,3,male,47.0,0,0,9,S,E10
1,2,female,28.0,1,0,24,C,E58
1,3,female,15.0,0,0,7,C,F G73
0,3,male,20.0,0,0,9,S,E10
0,3,male,19.0,0,0,7,S,F G73
0,3,male,19.0,0,0,7,S,F G73
1,1,female,56.0,0,1,83,C,C50
1,2,female,25.0,0,1,26,S,C103
0,3,male,33.0,0,0,7,S,F G73
0,3,female,22.0,0,0,10,S,F33
0,2,male,28.0,0,0,10,S,F33
0,3,male,25.0,0,0,7,S,F G73
0,3,female,39.0,0,5,29,Q,C118
0,2,male,27.0,0,0,13,S,D56
1,1,female,19.0,0,0,30,S,B42
0,3,female,19.0,1,2,23,S,F E69
1,1,male,26.0,0,0,30,C,C148
0,3,male,32.0,0,0,7,Q,F G73
